46,哈利·波特与魔法石/ Harry Potter and the Sorcerer's Stone/ 哈利波特1：神秘的魔法石(港 / 台),Chris Columbus,2001,美国 英国,奇幻 冒险,9.0,679045,https://movie.douban.com/subject/1295038/
47,辩护人/ 변호인/ 逆权大状(港)  /  正义辩护人(台),杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,443373,https://movie.douban.com/subject/21937445/
48,我不是药神/ 中国药神  /  印度药神,文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,1516392,https://movie.douban.com/subject/26752088/
49,搏击俱乐部/ Fight Club/ 搏击会(港)  /  斗阵俱乐部(台),大卫·芬奇 David Fincher,1999,美国 德国,剧情 动作 悬疑 惊悚,9.0,637958,https://movie.douban.com/subject/1292000/
50,死亡诗社/ Dead Poets Society/ 暴雨骄阳(港)  /  春风化雨(台),彼得·威尔 Peter Weir,1989,美国,剧情,9.1,505052,https://movie.douban.com/subject/1291548/
51,教父2/ The Godfather: Part Ⅱ/ 教父续集(港)  /  教父II,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.2,374263,https://movie.douban.com/subject/1299131/
52,狮子王/ The Lion King/ 狮子王3D,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.0,582339,https://movie.douban.com/subject/1301753/
53,指环王2：双塔奇兵/ The Lord of the Rings: The Two Towers/ 魔戒二部曲：双城奇谋  /  指环王II：双塔,彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.1,500382,https://movie.douban.com/subject/1291572/
54,大闹天宫/ 大闹天宫 上下集  /  The Monkey King,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,1961(中国大陆),国大陆),1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,9.3,279584,https://movie.douban.com/subject/1418019/
55,窃听风暴/ Das Leben der Anderen/ 窃听者(港)  /  他人的生活,not found,2006,德国,剧情 悬疑,9.1,415361,https://movie.douban.com/subject/1900841/
56,猫鼠游戏/ Catch Me If You Can/ 逍遥法外  /  神鬼交锋(台),史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,9.0,583526,https://movie.douban.com/subject/1305487/
57,指环王1：魔戒再现/ The Lord of the Rings: The Fellowship of the Ring/ 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.0,563113,https://movie.douban.com/subject/1291571/
58,"两杆大烟枪/ Lock, Stock and Two Smoking Barrels/ 够姜四小强(港)  /  两根枪管(台)",Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,443707,https://movie.douban.com/subject/1293350/
59,钢琴家/ The Pianist/ 钢琴战曲(港)  /  战地琴人(台),罗曼·波兰斯基 Roman Polanski,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐,9.2,376519,https://movie.douban.com/subject/1296736/
60,美丽心灵/ A Beautiful Mind/ 有你终生美丽(港)  /  美丽境界(台),朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.0,547930,https://movie.douban.com/subject/1306029/
61,饮食男女/ 飲食男女/ Eat Drink Man Woman,李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.1,411147,https://movie.douban.com/subject/1291818/
62,黑客帝国/ The Matrix/ 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国 澳大利亚,动作 科幻,9.0,564541,https://movie.douban.com/subject/1291843/
63,飞越疯人院/ One Flew Over the Cuckoo's Nest/ 飞越杜鹃窝(台)  /  飞越喜鹊巢,米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,434736,https://movie.douban.com/subject/1292224/
64,本杰明·巴顿奇事/ The Curious Case of Benjamin Button/ 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,8.9,715516,https://movie.douban.com/subject/1485260/
65,V字仇杀队/ V for Vendetta/ V煞(港)  /  V怪客(台),詹姆斯·麦克特格 James McTeigue,2005,美国 英国 德国,剧情 动作 科幻 惊悚,8.9,767368,https://movie.douban.com/subject/1309046/
66,让子弹飞/ 让子弹飞一会儿  /  火烧云,姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,8.8,1164778,https://movie.douban.com/subject/3742360/
67,看不见的客人/ Contratiempo/ 死无对证(港)  /  布局(台),奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,845682,https://movie.douban.com/subject/26580232/
68,西西里的美丽传说/ Malèna/ 真爱伴我行(台)  /  玛莲娜,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.9,704453,https://movie.douban.com/subject/1292402/
69,小鞋子/ بچههای آسمان/ 天堂的孩子  /  小童鞋,马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,289367,https://movie.douban.com/subject/1303021/
70,拯救大兵瑞恩/ Saving Private Ryan/ 雷霆救兵(港)  /  抢救雷恩大兵(台),史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 历史 战争,9.0,463253,https://movie.douban.com/subject/1292849/
71,绿皮书/ Green Book/ 绿簿旅友(港)  /  幸福绿皮书(台),彼得·法雷里 Peter Farrelly,2018,美国,剧情 喜剧 传记,8.9,1097617,https://movie.douban.com/subject/27060077/
72,海豚湾/ The Cove/ 血色海湾(台)  /  海湾,路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,287300,https://movie.douban.com/subject/3442220/
73,情书/ Love Letter/ When I Close My Eyes  /  Letters of Love,岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,656491,https://movie.douban.com/subject/1292220/
74,穿条纹睡衣的男孩/ The Boy in the Striped Pajamas/ 穿条纹衣服的男孩  /  穿条纹衣的男孩,马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.1,358248,https://movie.douban.com/subject/3008247/
75,海蒂和爷爷/ Heidi/ 飘零燕(港)  /  海蒂,阿兰·葛斯彭纳 Alain Gsponer,2015,德国 瑞士 南非,剧情 冒险 家庭,9.2,282240,https://movie.douban.com/subject/25958717/
76,音乐之声/ The Sound of Music/ 仙乐飘飘处处闻(港)  /  真善美(台),罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.0,430914,https://movie.douban.com/subject/1294408/
77,美国往事/ Once Upon a Time in America/ 四海兄弟(台)  /  义薄云天(港),赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情,9.2,303510,https://movie.douban.com/subject/1292262/
78,致命魔术/ The Prestige/ 顶尖对决(台)  /  死亡魔法(港),克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚,8.9,613723,https://movie.douban.com/subject/1780330/
79,低俗小说/ Pulp Fiction/ 危险人物(港)  /  黑色追缉令(台),昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.8,605059,https://movie.douban.com/subject/1291832/
80,七宗罪/ Se7en/ 火线追缉令(台)  /  7宗罪,大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,709043,https://movie.douban.com/subject/1292223/
81,沉默的羔羊/ The Silence of the Lambs/ 沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.8,606811,https://movie.douban.com/subject/1293544/
82,蝴蝶效应/ The Butterfly Effect/ 蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.8,673891,https://movie.douban.com/subject/1292343/
83,禁闭岛/ Shutter Island/ 不赦岛(港)  /  隔离岛(台),Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.8,677268,https://movie.douban.com/subject/2334904/
