23,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,R,1h 58min,Crime,Drama,https://www.imdb.com/title/tt0102926/mediaviewer/rm3242988544,https://www.imdb.com/video/imdb/vi3377380121?playlistId=tt0102926,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Thomas Harris | Ted Tally,Jonathan Demme,Jodie Foster | Anthony Hopkins | Lawrence A. Bonney
24,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,Passed,2h 10min,Drama,Family,https://www.imdb.com/title/tt0038650/mediaviewer/rm3862243328,https://www.imdb.com/video/imdb/vi1101988121?playlistId=tt0038650,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frances Goodrich | Albert Hackett | 3 more credits,Frank Capra,James Stewart | Donna Reed | Lionel Barrymore
25,Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/,PG,2h 1min,Action,Adventure,https://www.imdb.com/title/tt0076759/mediaviewer/rm3263717120,https://www.imdb.com/video/imdb/vi1317709849?playlistId=tt0076759,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,George Lucas,Mark Hamill | Harrison Ford | Carrie Fisher
26,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,R,2h 49min,Drama,War,https://www.imdb.com/title/tt0120815/mediaviewer/rm1924732160,https://www.imdb.com/video/imdb/vi1701906201?playlistId=tt0120815,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Robert Rodat,Steven Spielberg,Tom Hanks | Matt Damon | Tom Sizemore
27,Spirited Away,https://www.imdb.com/title/tt0245429/,PG,2h 5min,Animation,Adventure,https://www.imdb.com/title/tt0245429/mediaviewer/rm4207852801,https://www.imdb.com/video/imdb/vi3619684633?playlistId=tt0245429,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase | Suzanne Pleshette | Miyu Irino
28,Parasite,https://www.imdb.com/title/tt6751668/,R,2h 12min,Comedy,Drama,https://www.imdb.com/title/tt6751668/mediaviewer/rm3194916865,https://www.imdb.com/video/imdb/vi1015463705?playlistId=tt6751668,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho | Bong Joon Ho | 1 more credit,Bong Joon Ho,Kang-ho Song | Sun-kyun Lee | Yeo-jeong Jo
29,The Green Mile,https://www.imdb.com/title/tt0120689/,R,3h 9min,Crime,Drama,https://www.imdb.com/title/tt0120689/mediaviewer/rm946247936,https://www.imdb.com/video/imdb/vi552796441?playlistId=tt0120689,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Stephen King | Frank Darabont,Frank Darabont,Tom Hanks | Michael Clarke Duncan | David Morse
30,Interstellar,https://www.imdb.com/title/tt0816692/,PG-13,2h 49min,Adventure,Drama,https://www.imdb.com/title/tt0816692/mediaviewer/rm4043724800,https://www.imdb.com/video/imdb/vi1586278169?playlistId=tt0816692,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Jonathan Nolan | Christopher Nolan,Christopher Nolan,Matthew McConaughey | Anne Hathaway | Jessica Chastain
31,Léon: The Professional,https://www.imdb.com/title/tt0110413/,R,1h 50min,Action,Crime,https://www.imdb.com/title/tt0110413/mediaviewer/rm163643904,https://www.imdb.com/video/imdb/vi2744254745?playlistId=tt0110413,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Luc Besson,Jean Reno | Gary Oldman | Natalie Portman
32,The Usual Suspects,https://www.imdb.com/title/tt0114814/,R,1h 46min,Crime,Mystery,https://www.imdb.com/title/tt0114814/mediaviewer/rm1975465472,https://www.imdb.com/video/imdb/vi2717188377?playlistId=tt0114814,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Christopher McQuarrie,Bryan Singer,Kevin Spacey | Gabriel Byrne | Chazz Palminteri
